,video_id,cluster
840,W_gA12QKJa8,0
841,uEYb7Icxn7U,3
842,UehuI1w10lg,-1
843,J0qYQ5MtXSs,20
844,7ZnXeDUYPfk,3
845,RXvbqU5Hfc8,-1
846,Ownf8eBMoKY,4
847,z18nw4adsx4,0
848,rT8HTb30r1U,-1
849,bRsjfbqHj8k,1
850,KiR_XteJQT4,3
851,5ZAvx09qeks,2
852,lyOoMPjCGiA,-1
853,aGMsvXz8CYY,1
854,LsmZUoFvJIw,4
855,WlpFIbBz8Ps,4
856,FqwmHs2B3Wk,2
857,FIClB5Hp--c,3
858,yTXMctsU1qA,-1
859,h4XUqItn8es,3
860,LHiM0WnRaD8,1
861,u8dtCdwnIYE,4
862,x2DQM-PfsKo,2
863,Wqmtf9SA_kk,1
864,yoYZ9zwXb7g,-1
865,Qh2ChqAJbXE,3
866,0_nAHeLXcXc,-1
867,UHncD5Bwb-s,-1
868,mbK36TruR2Y,13
869,82nOf3CZpYk,-1
870,EDTHGgUvwHY,2
871,momzkuLMtao,21
872,D9APs4JQL1U,1
873,W-0-u6XVbE4,0
874,u7obuspdQu4,0
875,U9Nf4caMhz8,2
876,XfPRsCdWRyY,-1
